Accession	Title
GSM3170197	D12_C13_12_S230
GSM3170198	D12_C13_13_S241
GSM3170199	D12_C13_14_S242
GSM3170200	D12_C13_15_S253
GSM3170201	D12_C13_16_S254
GSM3170202	D12_C14_01_S171
GSM3170203	D12_C14_02_S172
GSM3170204	D12_C14_03_S183
GSM3170205	D12_C14_04_S184
GSM3170206	D12_C14_05_S195
GSM3170207	D12_C14_06_S196
GSM3170208	D12_C14_07_S207
GSM3170209	D12_C14_08_S208
GSM3170210	D12_C14_09_S219
GSM3170211	D12_C14_10_S220
GSM3170212	D12_C14_11_S231
GSM3170213	D12_C14_12_S232
GSM3170214	D12_C14_13_S243
GSM3170215	D12_C14_14_S244
GSM3170216	D12_C14_15_S255
GSM3170217	D12_C14_16_S256
GSM3170218	D12_C15_01_S173
GSM3170219	D12_C15_02_S174
GSM3170220	D12_C15_03_S185
GSM3170221	D12_C15_04_S186
GSM3170222	D12_C15_05_S197
GSM3170223	D12_C15_06_S198
GSM3170224	D12_C15_07_S209
GSM3170225	D12_C15_08_S210
GSM3170226	D12_C15_09_S221
GSM3170227	D12_C15_10_S222
GSM3170228	D12_C15_11_S233
GSM3170229	D12_C15_12_S234
GSM3170230	D12_C15_13_S245
GSM3170231	D12_C15_14_S246
GSM3170232	D12_C15_15_S257
GSM3170233	D12_C15_16_S258
GSM3170234	D12_C16_01_S175
GSM3170235	D12_C16_02_S176
GSM3170236	D12_C16_03_S187
GSM3170237	D12_C16_04_S188
GSM3170238	D12_C16_05_S199
GSM3170239	D12_C16_06_S200
GSM3170240	D12_C16_07_S211
GSM3170241	D12_C16_08_S212
GSM3170242	D12_C16_09_S223
GSM3170243	D12_C16_10_S224
GSM3170244	D12_C16_11_S235
GSM3170245	D12_C16_12_S236
GSM3170246	D12_C16_13_S247
GSM3170247	D12_C16_14_S248
GSM3170248	D12_C16_15_S259
GSM3170249	D12_C16_16_S260
GSM3170250	D12_C17_01_S177
GSM3170251	D12_C17_02_S178
GSM3170252	D12_C17_03_S189
GSM3170253	D12_C17_04_S190
GSM3170254	D12_C17_05_S201
GSM3170255	D12_C17_06_S202
GSM3170256	D12_C17_07_S213
GSM3170257	D12_C17_08_S214
GSM3170258	D12_C17_09_S225
GSM3170259	D12_C17_10_S226
GSM3170260	D12_C17_11_S237
GSM3170261	D12_C17_12_S238
GSM3170262	D12_C17_13_S249
GSM3170263	D12_C17_14_S250
GSM3170264	D12_C17_15_S261
GSM3170265	D12_C17_16_S262
GSM3170266	D12_C18_01_S179
GSM3170267	D12_C18_02_S180
GSM3170268	D12_C18_03_S191
GSM3170269	D12_C18_04_S192
GSM3170270	D12_C18_05_S203
GSM3170271	D12_C18_06_S204
GSM3170272	D12_C18_07_S215
GSM3170273	D12_C18_08_S216
GSM3170274	D12_C18_09_S227
GSM3170275	D12_C18_10_S228
GSM3170276	D12_C18_11_S239
GSM3170277	D12_C18_12_S240
GSM3170278	D12_C18_13_S251
GSM3170279	D12_C18_14_positive_S252
GSM3170280	D12_C18_15_S263
GSM3170281	negative1_S168
GSM3170282	negative2_S264
GSM3170018	negative2_S272
GSM3170019	negative_S176
GSM3170283	negative_S72
